,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
0,Barrington Levy,Work,=,=,=,=,=,=,=,=,=,=,=,-3.8736845934997026,-8.017690752769157
1,Diana Ross,Crime of Passion,-,=,=,=,--,=,++,--,+,=,=,-11.883153771461025,-8.091684867849235
2,Ivan Joy,Yo No Soy Tu Marido,++,=,=,=,--,=,=,--,++,=,=,11.463510408563767,0.058706156608312486
3,Keak Da Sneak,Skeet & Go,--,=,=,=,--,++,--,--,++,=,=,-14.47624868589839,2.078221117216845
4,M People,Precious Pearl,+,=,=,=,--,=,=,=,=,=,=,3.0626763081162047,-9.735717119086628
5,The Gap Band,Don't Take It Away,=,=,=,=,--,-,=,--,++,=,=,-6.86144344723616,-7.655297374953358
6,Chayanne,Lola,-,=,=,=,--,=,--,--,++,=,=,-8.479563803383417,1.8760328871816643
7,Dru Down,War!!!!!!!!!!!!!! (feat. Uso Ant),=,=,=,=,--,++,=,--,++,=,=,-6.809235523771656,-6.358917164640983
8,MAYAH,Pray,--,=,=,=,--,+,=,--,=,=,=,-15.071003438259849,12.163587496536323
9,Lloyd,Feelin You - Album Version (Edited),--,=,=,=,--,++,++,--,=,=,=,-14.479837869891965,1.990458639237561
10,Dru Hill,In My Bed - So So Def Mix,++,=,=,=,--,++,+,--,+,=,=,39.42889871888345,-1.361905965054693
11,The Salsoul Orchestra,Sleigh Ride,--,=,=,=,--,-,+,--,=,=,=,-15.763087820329885,-5.037930285147409
12,David Ruffin,I've Lost Everything I've Ever Loved,-,=,=,=,--,=,++,--,++,=,=,-10.900023583539129,-8.53112046233022
13,Los Tigrillos,La cumbia del conejito,--,=,=,=,--,=,++,--,=,=,=,-13.513236767383813,1.136166436375993
14,A Tribe Called Quest,Common Ground (Get It Goin' On) (feat. Spanky),++,=,=,=,--,++,-,--,++,=,=,17.517602503822616,1.2831039904705122
15,Buddy Guy,The Price You Gotta Pay featuring Keith Richards,+,=,=,=,--,+,++,-,++,=,=,1.0659329014208334,-9.619385882555765
16,Yolanda Adams,Time to Change,++,=,=,=,--,++,-,--,=,=,=,5.4889521785845155,0.8081472118065495
17,Kool Moe Dee,God Made Me Funke - New Mix,=,=,=,=,--,++,-,--,=,=,=,-7.888106482031884,-8.292914723453004
18,Yerba Buena,Guajira (I Love U 2 Much),--,=,=,=,--,++,--,--,++,=,=,-15.881690204141336,-7.973289667689182
19,S Club 7,Best Friend,=,=,=,=,--,-,--,++,++,=,=,-0.527910461310568,0.5198053136618361
20,The Arrows,I Love Rock & Roll,--,=,=,=,--,=,++,--,++,=,=,-15.154246636188358,10.095069834251174
21,John Michael Montgomery,It Gets Me Every Time,=,=,=,=,--,-,++,--,++,=,=,0.9179880980652042,11.56589743768695
22,Two Friends,No Drama,++,-,=,=,--,=,--,--,++,=,=,33.88146032546932,9.99799040678795
23,Albert Hammond Jr,Lisa,+,-,-,=,--,=,++,++,++,=,=,2.940472347761537,12.07943401482637
24,David Pack,Think Of U (Song 4 Kaitlyn),=,=,=,=,--,-,++,-,++,=,=,-3.446153506173964,2.593849687119999
25,Chris Brown,Summer Breeze,=,=,=,=,--,+,=,--,++,=,=,1.3428232745247828,22.113997902203646
26,Culture Club,Karma Chameleon - Remastered,++,=,=,=,--,-,++,--,++,=,=,57.54403353461363,1.1287177420359937
27,The Stranglers,Old Codger,-,-,=,=,--,-,--,++,++,=,=,-10.912462111072513,-8.834644778850176
28,Sandra,Maria Magdalena - Remastered,--,=,=,=,--,-,=,++,++,=,=,-15.885229447789651,-8.0612697551119
29,Crazy Town,Skulls and Stars - Clean Album Version,--,=,=,=,--,=,++,--,++,=,=,-14.784186022889834,19.288794811947582
30,Gene Vincent & His Blue Caps,Race With The Devil,-,=,=,=,--,=,++,--,+,=,=,-9.762509077584575,-5.141916079085092
31,Coffee Shop,If You Got Soul,--,=,=,=,--,=,+,++,++,-,=,-15.405017304337044,3.855699340926981
32,Blues Traveler,Hook,-,=,=,=,--,-,-,--,++,=,=,-10.021949143652195,13.279817825716474
33,Sham 69,It’s What We Do,--,-,=,=,--,=,++,--,++,=,=,-14.064968366670907,12.29116026380568
34,Tom Petty,Damaged by Love,++,-,=,=,--,-,=,--,++,-,=,15.817527914315697,8.769805215602583
35,Sam1Kayy,Z Code,--,=,=,=,--,++,+,--,++,=,=,-15.514672931102945,1.1455123353079493
36,Eric Clapton,Hell Hound On My Trail,++,-,=,=,--,-,++,--,++,=,=,9.868637940341879,10.158894312242078
37,Chris Brown,Lost In Ya Love,++,=,=,=,--,=,--,--,++,=,=,31.485086594771342,0.18781709671906907
38,KRS-One,Return of the Boom Bap,=,=,=,=,--,++,--,+,=,=,=,0.397419720526591,-1.3495330375450423
39,YONAS,Rise,=,=,=,=,--,=,--,--,++,=,=,0.58794302936592,3.363897777502873
40,Kelly Clarkson,What's Up Lonely,++,=,=,=,--,=,--,--,++,=,=,8.50303152654789,1.0961930393198835
41,Puscifer,"Dear Brother ""Denton Rework""",++,=,=,=,--,-,++,--,++,=,=,7.547706892421624,2.2263853150338435
42,Puscifer,Dear Brother - Denton Rework,+,=,=,=,--,-,++,--,++,=,=,3.5509920989868053,2.388273810908277
43,Suga Free,Shit Yeah,-,=,=,=,--,++,=,--,++,=,=,-9.559638225006905,-0.0928256097390573
44,Nappy Roots,These Walls (Dirty MC Edit),--,=,=,=,--,++,++,--,++,=,=,-15.161304567434849,9.92303218557931
45,Average White Band,Aftershock,--,=,=,=,--,++,=,--,++,=,=,-14.850290030627487,-7.215493496340258
46,The Stranglers,Nice 'N' Sleazy,++,-,=,=,--,-,--,+,+,=,=,23.105641198754718,-9.072196715670017
47,Selena,I'm Getting Used To You,++,=,=,=,--,-,-,--,=,=,=,19.938124936611498,-13.166042536317327
48,Alborosie,There Is A Place - feat. Kemar,=,=,=,=,--,++,++,--,++,-,=,-0.523269852149208,0.6220279070788192
49,Travis Thompson,The Move (feat. Parisalexa),-,=,=,=,--,++,=,--,++,-,=,-11.154667303951381,10.006255058640981
50,Ty Dolla $ign,Wavy (feat. Joe Moses),++,=,=,=,--,++,=,--,++,-,=,12.052566763617838,-10.175251982023825
51,Jurassic 5,End Up Like This - Album Version (Edited),--,=,=,=,--,=,--,-,+,=,=,-13.47861190744042,1.9990914423883925
52,Maxwell,Sumthin' Sumthin',++,=,=,=,--,=,+,=,+,=,=,40.32332019608759,-4.003415563422782
53,Jason Mraz,The Beauty in Ugly - Ugly Betty Version,--,=,=,=,--,++,+,--,++,=,=,-13.209413960027282,8.691977024659245
54,Mac Mall,Candy Paint & Thangs,--,=,=,=,--,++,+,--,++,=,=,-12.438068097437565,2.980692978963014
55,Busta Rhymes,Dangerous,--,=,=,=,--,++,--,--,++,=,=,-14.852589048468614,-7.27642723460448
56,Changbeom Kim,The Meaning of Pain,--,-,=,=,--,-,--,--,=,=,=,-13.110801879409324,11.137885199875326
57,Kylie Minogue,Obsession,=,=,=,=,--,++,=,--,+,=,=,-2.60665243753445,-1.3916526326770664
58,Lisa Stansfield,Never Gonna Fall,++,=,=,=,--,++,++,--,++,=,=,17.38297072901279,-2.0641581917596743
59,Grupo Kual?,Rumba Cha Cha,--,=,=,=,--,-,--,--,++,=,=,-15.596542199081522,-0.8815869542134688
60,Common,Heat,++,=,=,=,--,++,--,++,++,=,=,12.154819511116392,-7.629127438035154
61,Famm,In the Building,--,=,=,=,--,++,++,--,++,=,=,-15.87485490699749,-7.80770180115022
62,Randy Travis,Which Way Will You Choose,++,=,=,=,--,-,=,--,++,=,=,5.178165134320586,-6.910057798945748
63,Stanley Clarke,Heaven Sent You,-,=,=,=,--,+,++,++,=,=,=,-8.794000979456808,-5.947382427927436
64,A$AP Ferg,I Love You (feat. Chris Brown & Ty Dolla $ign),=,=,=,=,--,+,-,--,=,-,=,-4.4462032793458395,2.6126393490993274
65,Clear Conscience,End of the World (feat. No Needz),=,=,=,=,--,++,=,--,++,=,=,-3.8915437183630512,-8.457497768067782
66,Public Enemy,Do You Wanna Go Our Way - Nextmen UK Mix,--,=,=,=,--,++,-,--,++,=,=,-13.550844178837469,0.2185901902408687
67,Stephen Marley,Thorn Or A Rose,++,=,=,=,--,=,++,=,++,=,=,10.19506395804056,18.272368838324173
68,Paul Carrack,Make Your Mind Up - Remastered,=,=,=,=,--,-,=,-,=,=,=,-6.846736349547568,-7.286769374790375
69,Whitney Houston,Something In Common,++,=,=,=,--,=,=,++,+,=,=,21.047679096270915,-10.467474287239463
70,DaBaby,Wait Up,--,=,=,=,--,+,++,--,++,-,=,-14.517667274085916,1.0379458632342005
71,Peter Gabriel,Kiss That Frog,++,=,=,=,--,++,+,--,+,-,=,10.539424437703847,1.9569818724520156
72,Busted,Year 3000,=,-,=,=,--,=,--,--,++,=,=,-8.008783398640677,-11.28332748594414
73,Brotha Lynch Hung,Don't Be My Pleasure (feat. First Degree the D.E.),-,=,=,=,--,++,++,--,=,=,=,-10.035598094855109,12.942147161687135
74,"Biz Markie, Digital Underground",The Odd Couple,=,=,=,=,--,++,++,--,++,=,=,-0.19189867366005842,8.863043007435122
75,Bootsy Collins,Stretchin' Out (In a Rubber Band),++,=,=,=,--,++,++,--,++,=,=,14.20909490408612,-6.332049978029884
76,The Stranglers,Nice N' Sleazy,--,-,=,=,--,-,--,+,+,=,=,-14.832777437902848,-6.781750275020635
77,Smokey Robinson & The Miracles,Mickey's Monkey,++,=,=,=,--,+,++,++,++,=,=,10.532620727553079,1.7934648043436097
78,Felly,Horchata (Waves),++,=,=,=,--,=,++,--,++,=,=,21.25203260223958,-5.405365984059258
79,Aretha Franklin,Doctor's Orders (with Luther Vandross),=,=,=,=,--,=,++,--,+,=,=,-1.6362832104081515,-2.151454380319834
80,Redman,Jam 4 U,++,=,=,=,--,++,--,++,++,=,=,9.482059835686364,0.5593454654006855
81,Naughty By Nature,Holiday (feat. Phiness),++,=,=,=,--,++,-,--,+,=,=,35.23200026173231,-6.1862143501180995
82,Nate Dogg,Girls All Pause (feat. Kurupt) (J. Period Remix),++,=,=,=,--,++,=,--,++,=,=,5.126053382380952,-8.208518466724104
83,Joyner Lucas,Shooting Star,++,=,=,=,--,++,--,--,++,=,=,20.253057369453607,-5.35765875768986
84,Melissa Etheridge,Ain't That Bad,=,=,=,=,--,=,--,--,++,=,=,-3.1204398192501497,10.696959211756115
85,TRACES,What Am I To Do,--,-,=,=,--,-,++,--,=,=,=,-14.421356496426585,3.4298299559478305
86,Keane,Stop For A Minute,++,=,=,=,--,=,=,--,++,=,=,30.812174085097407,8.337597943633146
87,Steel Pulse,George Jackson,=,=,=,=,--,=,--,--,=,-,=,-2.3776317744112814,4.271545109859907
88,King Floyd,Groove Me,++,=,=,=,--,++,++,--,-,=,=,43.085925465939546,-9.976431674895617
89,Q-Tip,Shaka,++,=,=,=,--,=,-,--,++,-,=,8.850739188509758,9.72914802260172
90,Above The Law,4 the Funk of It - Radio Edit,-,=,=,=,--,++,--,--,=,=,=,-12.011292054654813,-11.267852178270958
91,Ol' Dirty Bastard,Pop Shots - Clinton Sparks Remix,=,=,=,=,--,++,-,++,=,=,=,-5.730220587416607,-4.419960737180062
92,Quinn XCII,Tough (feat. Noah Kahan),++,=,=,=,--,=,++,--,++,=,=,45.5114928100038,0.5564232737296515
93,Mobb Deep,Spread Love,++,=,=,=,--,++,=,--,++,-,=,14.421320638742415,-1.0464142153804494
94,*NSYNC,I Never Knew the Meaning of Christmas,++,=,=,=,--,-,+,--,++,-,=,10.908760532116434,11.128572917379877
95,Xzibit,Been a Long Time,-,=,=,=,--,++,=,--,++,=,=,-11.55763390745871,0.006144230109859025
96,Sham 69,Is This the Life,--,-,=,=,--,-,--,-,+,=,=,-14.211082288533198,8.674418557587726
97,Blackmail,No!,--,=,=,=,--,++,+,--,++,-,=,-14.81270234800956,-6.283517759416276
98,Justin Timberlake,(Oh No) What You Got,++,=,=,=,--,+,++,++,++,=,=,30.531946458074117,1.373603450243291
99,Uncle Kracker,Who's Your Uncle?,-,=,=,=,--,++,++,--,++,=,=,-10.52133902388815,0.8745332250041656
100,Mase,Do You Wanna Get $?,=,=,=,=,--,++,--,--,++,=,=,-4.701986304432696,-3.7383605826012096
101,Mase,Do You Wanna Get $ [feat. Puff Daddy],--,=,=,=,--,++,--,--,++,=,=,-14.693875569052121,-3.3361162173698364
102,Robert Palmer,You're Mine,=,=,=,=,--,=,--,--,+,=,=,-2.731621966535354,-4.51912072584465
103,Celly Cel,What They Hittin' Fo?,--,=,=,=,--,++,=,--,+,=,=,-13.392585442089711,4.13094484889442
104,Das EFX,Real Hip-Hop - Pete Rock Remix,--,=,=,=,--,++,++,--,++,=,=,-14.455250174730015,2.602445481001489
105,Ted Nugent,Kiss My Ass,+,-,=,=,--,++,--,--,++,=,=,3.8118666962698264,8.880471037397397
106,Shalamar,There It Is - Extended Mix,=,=,=,=,--,=,-,--,=,=,=,0.1466333050853913,-7.585920196726565
107,Double XX Posse,Ghetto Life,--,=,=,=,--,++,--,++,++,=,=,-15.492185124081463,1.7040340196354995
108,Kim Waters,Sumthin' Sumthin',=,=,=,=,--,++,++,++,=,=,=,0.35857349694121493,-2.329645846864648
109,Zhavia Ward,Killing Me Softly With His Song - The Four Performance,=,=,=,=,--,++,=,--,++,-,=,-6.522348149701548,0.7705785203066406
110,Lisa Stansfield,Ghetto Heaven,-,=,=,=,--,=,=,--,++,-,=,-9.51975582350221,0.88949534464893
111,Ice-T,Colors,++,=,=,=,--,++,=,--,++,-,=,12.52091972294136,1.4637713602809008
112,Ice-T,Colors - 2014 Remaster,++,=,=,=,--,++,=,--,++,-,=,28.50794254633244,0.82018037591071
113,Lisa Shaw,Honey,++,=,=,=,--,-,--,=,++,-,=,7.26057600697641,-4.91872709593633
114,Too $hort,B. S**ks D.,--,-,=,=,--,++,++,--,++,=,=,-13.978998738285796,-10.422967289989908
115,Sammy Kershaw,Just Got Paid,--,-,=,=,--,-,--,++,++,=,=,-14.153328231119877,10.097724132586384
116,The Searchers,Can't Help Forgiving You - Mono,--,=,=,=,--,-,++,--,++,=,=,-13.970223183598375,-10.213903724637925
117,311,DLMD,++,=,=,=,--,+,--,--,++,=,=,14.520385366994276,1.4129227556076729
118,Mokita,Goodbye - Chill Mix,++,=,=,=,--,-,++,--,++,-,=,6.468164347287516,0.2665024210922978
119,Pat Benatar,One Love (Song Of The Lion) - Remastered,-,=,=,=,--,=,=,++,++,=,=,-8.530937083251843,0.6008404640283587
120,311,Taiyed,++,=,=,=,--,=,-,--,++,=,=,12.288788630709552,-4.30669507023483
121,Lionel Richie,One World,-,=,=,=,--,+,-,--,++,=,=,-11.19077777655409,9.109108825997891
122,Eric Clapton,One Chance,++,=,=,=,--,++,--,--,=,=,=,11.66284859726007,5.000888529487438
123,Paul Young,Ku Ku Kurama - 2008 Re-Master Version,++,=,=,=,--,=,++,--,++,-,=,6.202608363998878,-6.331253005369636
124,MC Eiht,Lunatic,-,=,=,=,--,++,-,--,+,-,=,-11.511727577336899,1.1329348955358607
125,The Specials,Lonely Crowd - John Peel Session,-,=,-,=,--,=,=,--,++,-,=,-10.78108742531491,-5.5907695092947165
