artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
Stevie Wonder,We Can Work It Out,--,=,=,=,--,=,=,+,--,=,=,=,13.734380525851652,-32.302263320471496
Nicki Minaj,Starships - Edit,-,=,=,=,--,=,++,--,++,=,=,=,11.513920056188717,-6.074039738713713
Mötley Crüe,Anybody Out There?,=,-,=,=,--,=,+,--,++,=,--,=,11.520204972076582,-4.792344708972971
George Michael,Cars and Trains,=,=,-,=,--,=,=,-,++,=,-,=,11.858593825311806,10.365469929477142
Japan,Gentlemen Take Polaroids - Remastered 2003,=,=,=,=,--,=,=,++,++,+,=,=,3.0914569163300456,22.596819890972853
Ted Nugent,"Baby, Please Don't Go - Live at Taylor County Coliseum, Abilene, TX - November 1977",-,=,=,=,--,=,+,--,++,=,=,=,-13.865098553739372,4.157601543291716
X Ambassadors,Nervous,--,=,=,=,--,=,++,--,--,++,-,=,3.7014466507860817,-12.615942851611432
The Pointer Sisters,All I Know Is the Way I Feel,-,=,=,=,--,=,=,-,++,-,=,=,-4.1379056520778805,4.009042207004128
Euge Groove,Another Sad Love Song,-,=,=,=,--,=,=,=,++,=,-,=,12.104180895211924,-11.694714112134998
Doc Robinson,Wild Beauty,-,=,=,=,--,=,=,=,++,+,=,=,-26.901236987419455,19.84183631576509
Rainbow,Love's No Friend (Live),=,=,=,=,--,=,=,=,--,=,-,=,9.879749397533823,-3.4660280093059783
Robert Gordon,There You Go,--,=,=,=,--,=,=,-,++,=,-,=,-16.904367474568247,-4.958593547540273
Carpenters,Please Mr. Postman,--,=,=,=,--,=,=,-,--,=,=,=,-21.483482391859177,5.173849497972558
G-DRAGON,THE LEADERS,-,=,=,=,--,=,++,--,--,=,-,=,11.187092999080946,-9.667278764391707
Paulina Rubio,El Ultimo Adios,-,-,=,=,--,=,+,--,--,=,=,=,-15.136474353593014,5.185684416379141
Wire,Morning Bell,--,=,=,=,--,=,=,--,++,++,=,=,4.120365833951328,-20.671945219837728
Joe Cocker,Walk Through The World With Me,-,=,=,=,--,=,=,--,++,=,-,=,14.50377687857166,-20.063961120977392
Dio,In Dreams - 2019 - Remaster,-,-,=,=,--,=,=,-,--,=,-,=,23.38109098004129,-16.953983775380898
Billy Ocean,Love Zone,--,=,=,=,--,=,+,+,++,=,=,=,7.1917951467435515,-19.297284858596587
Big Mountain,Love Is On the Way,--,=,-,=,--,=,=,+,--,-,=,=,-22.950177583206358,-1.3557373156425863
Buck Owens,41st Street Lonely Hearts' Club,--,=,=,=,--,=,=,++,--,-,=,=,4.33440368744751,-19.558555529387956
Yusuf / Cat Stevens,The Devil Came from Kansas,--,=,=,=,--,=,=,=,-,=,=,=,3.784177590488373,-21.685565854758607
Luca Brunetti,Tropical Swing,--,=,=,=,--,=,=,=,++,++,-,=,6.586566856617415,-20.093498903769817
Taylor Swift,...Ready For It?,++,=,=,=,--,=,=,--,++,=,=,=,34.1778801796124,28.327061409892092
George Harrison,I Really Love You - Remastered 2004,=,=,=,=,--,=,=,=,++,-,=,=,-7.246912058488064,12.952161362905779
Del Shannon,Needles and Pins,=,=,=,=,--,=,=,-,++,=,=,=,-6.94983116130656,17.85621881015615
"The Broadway Cast Of ""The Boy From Oz""","Wrapped up Nice (feat. Hugh Jackman, Stephanie J. Block, Tim Fitz Gerald, Isabel Keating & Beth Fowler)",--,=,=,=,--,=,=,++,--,++,=,=,-22.32870842511103,-3.144688459517236
The Maine,Everything I Ask For,-,-,=,=,--,=,=,--,--,=,--,=,-9.948886294497266,6.135885221341581
Faith No More,I Won't Forget You - 2016 Remaster,=,=,=,=,--,=,=,--,++,=,--,=,10.340009027126651,-2.5517473445506567
Bad Company,Sweet Lil' Sister - 2017 Remaster,=,=,=,=,--,=,=,-,--,=,=,=,-8.252653581469598,20.195323757766303
Randolph's Grin,Orange - Subtraction: Architect Remix,--,=,=,=,--,=,=,--,++,+,-,=,-19.967859640955954,-5.0537018203898585
The Who,I Am The Sea - Live In London / 2013,-,-,=,=,--,=,++,--,--,++,-,=,-13.789943138495335,10.52701800683502
Suga Free,S.G.V.,--,=,=,=,--,=,++,--,--,=,=,=,2.107771996331253,-17.758346678660857
Limp Bizkit,Crushed - Album Version (Edited),--,=,-,=,--,=,++,-,++,-,=,=,3.299520355068192,-22.57968678141993
Taylor Swift,...Ready For It? - Karaoke Version,+,=,=,=,--,=,=,--,++,-,=,=,24.745374469416014,16.6640133661876
CAN,Pauper's Daughter And I,--,=,-,=,--,=,++,++,++,=,=,=,-20.12473947712069,4.075521114143912
Taylor Swift,…Ready For It? - Commentary,++,=,=,=,--,=,=,--,++,-,=,=,40.48057499301731,36.09082577612996
Tegan and Sara,Hype,=,=,-,=,--,=,=,--,++,-,-,=,-8.466472549106884,13.939524396827377
Duran Duran,Late Bar - Manchester Square Demo,-,=,=,=,--,--,=,--,++,=,-,=,-11.435175003147666,9.909228238447842
Metallica,Hero Of The Day,++,-,=,=,--,=,=,--,++,=,=,=,17.87582796568967,27.361129704278312
Jay & The Techniques,"Apples, Peaches, Pumpkin Pie",--,=,=,=,--,=,=,++,--,=,=,=,-30.032927097309855,5.655583057921035
Elton John,Little Jeannie,-,=,-,=,--,=,-,++,--,=,=,=,-26.047824671761052,17.866039725395588
Frankie Ruiz,Tú Con Él,--,=,=,=,--,=,=,+,++,+,=,=,3.711186947796083,-22.913115819977946
Nicki Minaj,Starships - Edit,-,=,=,=,--,=,++,--,++,=,=,=,10.273028649930787,-7.642692682351947
Little Texas,God Blessed Texas,=,=,=,=,--,=,+,++,=,++,=,=,-7.188098340045444,16.762711198712783
The Cowsills,The Cruel War - Live,--,=,=,=,--,=,=,+,++,=,=,=,-28.950828843742475,3.494471871846849
Dirty Heads,Burn By Myself,=,=,=,=,--,=,-,-,+,=,=,=,23.745441611025225,5.897941583425717
Bob Marley & The Wailers,Buffalo Soldier - Edit Version,=,=,-,=,--,=,++,=,--,=,=,=,3.1680180215922507,22.53527121034104
Lara Fabian,I Will Love Again,++,=,=,=,--,--,=,--,--,=,-,=,9.92830073377502,35.07341456358968
Foxy,Get Off - Remastered,+,=,-,=,--,=,++,--,++,-,=,=,3.8169875089628604,33.584527699584555
The Turtles,Let Me Be - Remastered,--,=,-,=,--,=,=,--,--,++,=,=,-18.73415062228327,5.523297076457747
Foreign Air,Echo,-,=,=,=,--,=,=,--,++,=,-,=,9.330526445499913,-5.593663482496774
Jewel T,Rock Nice,--,=,=,=,--,=,++,--,--,--,-,=,-2.16333962409617,-19.44856564070625
Common,The Light,-,=,-,=,--,=,++,-,--,=,=,=,10.058420355895672,-12.61258666759368
Little Big Town,Love Profound,-,=,-,=,--,=,=,++,++,=,=,=,-26.646798762374793,17.064578515640886
James Blunt,1973,++,=,=,=,--,=,-,-,++,=,=,=,24.32254757220417,46.58195039593556
Eddie Money,When I Come Around,--,=,=,=,--,=,+,-,--,=,--,=,4.1084555566027765,-16.803040685661472
Lucho Castellanos y su Grupo,La cumbia barulera,--,=,=,=,--,=,=,-,--,=,=,=,-0.2596698656143645,-20.98777029710241
Classified,Grand Slam,--,=,=,=,--,=,++,++,--,=,-,=,6.784565199763956,-15.109687520993116
David Lee Roth,Experience - 2007 Remaster,=,=,=,=,--,=,=,=,++,=,-,=,5.121908857377947,0.3802427800781182
Michael Bublé,Someday (feat. Meghan Trainor),+,=,-,=,--,=,=,=,--,=,=,=,30.501236153548717,9.437628407149173
Bridgit Mendler,Diving (Vice Remix),=,=,=,=,--,--,++,=,++,-,-,=,27.856130905586234,-11.570244939989829
Mandrill,Believe in You,--,=,=,=,--,--,=,++,++,=,=,=,-19.4188652983667,-2.9254862767234853
A Cor Do Som,Assanhado,--,=,=,=,--,=,=,--,++,+,=,=,-23.633625828573248,0.48220803112782284
August Alsina,Don't Matter,-,=,-,=,--,=,++,=,--,--,-,=,-15.973498502112866,4.577294165764511
M People,Just For You,=,=,=,=,--,=,=,=,--,+,-,=,17.44393720666085,-1.8660102314596436
Sham 69,The Game,--,=,=,=,--,=,+,-,--,++,-,=,-23.058104158967172,0.01687496995916235
blackbear,me & ur ghost,++,=,-,=,--,=,-,-,--,=,=,=,36.65183360390434,25.040320365539266
Marilyn Manson,mOBSCENE,--,=,=,=,--,=,+,--,++,++,-,=,-20.789132209394513,2.0406667717638456
Ne-Yo,Jealous,=,=,-,=,--,=,=,-,--,-,-,=,18.562553083783907,1.087650997417888
Buck Owens,Ashes of Love,--,=,=,=,--,=,=,=,-,+,=,=,-12.105851853119551,-1.1231683404180894
Paul Carrack,"Georgia - Live at Royal Albert Hall, London, 2001",-,=,=,=,--,=,=,-,--,-,=,=,-12.349270574251605,4.217888878756906
Rancid,Farewell Lola Blue,=,=,=,=,--,=,=,--,--,+,=,=,-4.6981771442348945,18.607083464830357
Heaven 17,Penthouse And Pavement,--,=,=,=,--,--,+,--,--,-,=,=,-19.798415437347657,-0.04657207255115745
The Stranglers,Duchess,-,=,=,=,--,=,++,--,++,=,=,=,-15.384607224302592,11.816119406871756
FosseyTango,War Torn Streets (feat. Glen Matlock),--,-,=,=,--,=,+,-,--,+,-,=,-3.6239532719274754,-18.26696080874671
Funkadelic,Standing on the Verge of Getting It On,+,=,=,=,--,=,++,-,--,++,=,=,14.000506678792044,22.77880265696838
J-Love,Justice League,--,=,=,=,--,=,++,-,--,=,-,=,2.478501060313014,-23.201973035075497
The Dears,Raise The Dead,=,=,=,=,--,=,=,++,--,++,-,=,26.373454806287974,6.345829079563143
Ronan Keating,Little Thing Called Love - Single Mix,+,=,=,=,--,=,=,-,--,=,-,=,10.669512339018993,21.615162820234072
Ronan Keating,Lost For Words,++,=,=,=,--,=,=,-,--,=,-,=,16.3202484844509,28.620076766433645
The Who,Pinball Wizard - Live At Woodstock,=,-,=,=,--,--,+,-,--,=,=,=,-10.16895439281251,14.029655359457701
Richard Elliot,The Lower Road,+,=,=,=,--,=,=,++,--,--,=,=,37.09899100168476,6.675609645107537
Black Sabbath,Rock 'N' Roll Doctor - 2014 Remaster,=,-,=,=,--,=,+,++,++,++,-,=,-6.595732168592587,17.569751263693156
Foghat,"Slipped, Tripped, Fell In Love",--,=,=,=,--,--,=,--,++,++,=,=,-20.51629235573822,-2.0381671193267157
Skinny Puppy,Convulsion - Live,-,=,=,=,--,=,++,--,++,+,-,=,11.57055093078801,-13.835535030806124
Alabama,No Bad Days,--,=,=,=,--,=,-,++,++,=,-,=,-7.945307830056651,-10.915746102553234
The Outfield,Part Of Your Life,=,=,=,=,--,=,=,++,--,=,--,=,16.848985488152415,-2.6705135997373315
Roy Orbison,No Chain at All,=,=,-,=,--,=,=,=,-,-,=,=,-8.659054936067127,11.522545847126402
Method Man,Bring The Pain,--,=,-,=,--,=,++,+,++,=,--,=,0.6370148324159628,-16.567821297417957
Phil Vassar,Voice in My Head,-,=,-,=,--,=,-,-,--,=,--,=,10.57251511965325,-11.741457423428852
Everything Everything,The Actor,+,=,-,=,--,=,=,++,++,=,--,=,5.547650821219715,29.614137223936662
Visage,Aurora - Map Of Human Heart Extended Version,--,=,=,=,--,--,=,--,++,-,=,=,-20.26515913211391,-2.2413898211767123
Sam Cooke,All Right Now - Take 4/Alt.,++,=,=,=,--,=,=,++,--,=,=,=,16.089074400667144,36.52099588284188
Amber Dirks,Without You,--,=,=,=,--,--,=,--,++,--,=,=,-22.292933305784743,-3.1738411943874327
The Rubettes,Keep On Dancing,--,=,=,=,--,--,=,--,++,--,=,=,-22.292933305784743,-3.1738411943874327
Fleetwood Mac,Little Lies - Extended Version; 2017 Remaster,=,=,=,=,--,=,=,-,++,=,=,=,1.8737232531341343,22.294960871614794
Danger Danger,Walk It Like Ya Talk It (feat. Ted Poley),--,=,=,=,--,=,=,--,--,++,-,=,4.9589396237298855,-17.491697324611128
Fabolous,Brooklyn,-,=,=,=,--,=,++,--,--,=,=,=,8.893425330084465,-14.243395533183794
Dirty Heads,Hear You Coming,=,=,=,=,--,=,=,-,--,+,=,=,19.092320508849795,9.66064291401288
Kane Brown,Lost in the Middle of Nowhere (feat. Becky G),++,=,=,=,--,--,=,--,++,-,-,=,48.23751330952883,16.959798355398476
Buddy Knox,Maybelline,--,=,=,=,--,=,=,+,+,++,=,=,-22.271578176048358,-3.191273039735203
Joy Division,She's Lost Control,--,=,=,=,--,=,++,=,++,=,=,=,-32.98393716892325,5.469808982312647
The Steel Woods,Better in the Fall,=,=,=,=,--,=,=,-,=,=,--,=,11.798552853500677,-2.4447118183151955
King Diamond,Lucy Forever,--,=,=,=,--,--,=,--,++,+,-,=,-17.44190224693157,3.192388706000718
John Fogerty,Someday Never Comes,=,=,=,=,--,=,-,--,--,=,-,=,-6.529607552426585,20.089268959932404
a-ha,Cry Wolf - Demo,-,=,=,=,--,--,+,+,++,=,=,=,-17.093721285046524,6.768784652939317
Matt Nathanson,Surrender,--,=,-,=,--,=,=,++,--,=,-,=,-15.137752294230378,2.6155284004147528
Hilltop Hoods,Chase That Feeling - Remix Instrumental,-,=,=,=,--,=,=,--,++,++,=,=,8.037549611268146,-13.550900848227872
The Byrds,All I Have Are Memories - Alternate Instrumental - Take 21,=,-,-,=,--,=,=,=,--,=,=,=,2.7930454723979317,20.266521616767086
Ñejo & Dalmata,Algo Musical,--,=,=,=,--,=,+,=,--,+,-,=,3.4454857046018965,-23.983692995813772
Mary Mary,Somebody,--,=,=,=,--,=,=,--,++,+,=,=,10.292706662432682,-28.233187838276987
Joy Division,She's Lost Control - 2010 Remaster,=,=,=,=,--,=,++,=,++,=,=,=,-12.236977759181796,31.132171602618538
Joy Division,She's Lost Control,--,=,=,=,--,=,++,=,++,=,=,=,-30.469844525799985,8.580952136579374
Poppy Ajudha,David's Song - Tom Misch Remix,--,=,-,+,--,=,=,++,++,=,-,+,-39.669133592701314,19.8776205217824
Montgomery Gentry,All I Know About Mexico,=,=,=,=,--,=,=,--,--,++,-,=,-9.28410180968715,12.027733786179672
Kodak Black,Benji's,=,=,-,=,--,=,=,--,--,=,--,=,-4.42745256154278,22.247784614284793
XTC,I'm Bugged - 2001 Remaster,-,=,=,=,--,=,=,-,--,++,-,=,-11.127518396144243,5.802457440820386
Juicy J,Lit (feat. Young Dolph & 21 Savage),-,=,=,=,--,=,++,--,--,=,=,=,-6.327718187281048,7.06460653243931
Glee Cast,Billionaire (Glee Cast Version),++,=,=,=,--,--,++,++,--,=,=,=,42.389433323418494,11.400220463469275
Material Issue,What Girls Want,--,=,=,=,--,=,=,-,--,++,=,=,-24.542710796921646,-1.3547950886961337
Toby Keith,Haven't Had a Drink All Day,=,=,=,=,--,=,=,++,--,-,=,=,15.69000711272937,0.8374213493260099
Aretha Franklin,Freeway of Love - Extended Remix,--,=,=,=,--,--,+,++,--,=,=,=,-15.108398798632733,2.590856843695172
Darius Rucker,One More Night,=,=,-,=,--,=,+,--,--,-,-,=,0.05759252664147847,7.047945120874001
